OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00003013,281,0,0,0,0,0,0,4,0,4,0,1,0,0,1,0,270,261,4,0,1,4,6,0,6,0,0,0,0,0,0,1.4234875444839856,0,1.4234875444839856,0,0.3558718861209964,0,0,0.3558718861209964,0,96.08540925266904,92.88256227758008,1.4234875444839856,0,0.3558718861209964,1.4234875444839856,2.135231316725979,0,2.135231316725979
W00003014,265,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,264,255,5,0,0,4,0,0,0,0,0,0,0,0,0,0.37735849056603776,0,0.37735849056603776,0,0,0,0,0,0,99.62264150943396,96.22641509433963,1.8867924528301887,0,0,1.509433962264151,0,0,0
W00003015,249,5,0,4,0,0,1,1,0,0,1,1,0,0,1,0,242,235,1,0,0,6,0,0,0,2.0080321285140563,0,1.6064257028112447,0,0,0.4016064257028112,0.4016064257028112,0,0,0.4016064257028112,0.4016064257028112,0,0,0.4016064257028112,0,97.18875502008032,94.37751004016064,0.4016064257028112,0,0,2.4096385542168677,0,0,0
W00003016,304,7,0,3,0,0,4,0,0,0,0,2,0,2,0,0,295,285,1,1,0,8,0,0,0,2.302631578947368,0,0.9868421052631579,0,0,1.3157894736842104,0,0,0,0,0.6578947368421052,0,0.6578947368421052,0,0,97.03947368421053,93.75,0.3289473684210526,0.3289473684210526,0,2.631578947368421,0,0,0
W00003017,390,2,0,0,0,1,1,0,0,0,0,5,3,0,0,2,379,372,6,0,0,1,4,0,4,0.5128205128205128,0,0,0,0.2564102564102564,0.2564102564102564,0,0,0,0,1.282051282051282,0.7692307692307693,0,0,0.5128205128205128,97.17948717948718,95.38461538461539,1.5384615384615385,0,0,0.2564102564102564,1.0256410256410255,0,1.0256410256410255
W00003018,245,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,244,239,0,0,0,5,0,0,0,0.40816326530612246,0,0,0,0,0.40816326530612246,0,0,0,0,0,0,0,0,0,99.59183673469387,97.55102040816327,0,0,0,2.0408163265306123,0,0,0
W00003019,299,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,297,287,7,0,0,3,0,0,0,0.33444816053511706,0,0,0,0,0.33444816053511706,0,0,0,0,0.33444816053511706,0,0.33444816053511706,0,0,99.33110367892976,95.9866220735786,2.341137123745819,0,0,1.0033444816053512,0,0,0
W00003020,348,9,4,0,2,0,3,0,0,0,0,2,1,0,0,1,333,326,0,0,1,6,4,0,4,2.586206896551724,1.1494252873563218,0,0.5747126436781609,0,0.8620689655172413,0,0,0,0,0.5747126436781609,0.28735632183908044,0,0,0.28735632183908044,95.6896551724138,93.67816091954023,0,0,0.28735632183908044,1.7241379310344827,1.1494252873563218,0,1.1494252873563218
W00003021,294,8,0,0,5,0,3,0,0,0,0,0,0,0,0,0,286,267,7,0,0,12,0,0,0,2.7210884353741496,0,0,1.7006802721088436,0,1.0204081632653061,0,0,0,0,0,0,0,0,0,97.27891156462584,90.81632653061224,2.380952380952381,0,0,4.081632653061225,0,0,0
W00003022,335,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,333,319,1,0,0,13,0,0,0,0.2985074626865672,0,0,0.2985074626865672,0,0,0,0,0,0,0.2985074626865672,0.2985074626865672,0,0,0,99.40298507462687,95.22388059701493,0.2985074626865672,0,0,3.880597014925373,0,0,0
