OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00006843,248,239,230,9,2,3,4,0,0,0,1,7,1,0,0,96.37096774193549,92.74193548387096,3.6290322580645165,0.8064516129032258,1.2096774193548387,1.6129032258064515,0,0,0,0.4032258064516129,2.82258064516129,0.4032258064516129,0,0
W00006846,307,297,296,1,1,0,0,0,0,0,2,6,2,0,0,96.74267100977198,96.41693811074919,0.32573289902280134,0.32573289902280134,0,0,0,0,0,0.6514657980456027,1.9543973941368076,0.6514657980456027,0,0
W00006847,324,316,299,17,3,14,0,0,0,0,3,3,2,0,0,97.53086419753086,92.28395061728395,5.246913580246913,0.9259259259259258,4.320987654320987,0,0,0,0,0.9259259259259258,0.9259259259259258,0.6172839506172839,0,0
W00006848,285,275,272,3,0,0,2,1,0,0,1,7,2,0,0,96.49122807017544,95.43859649122807,1.0526315789473684,0,0,0.7017543859649122,0.3508771929824561,0,0,0.3508771929824561,2.456140350877193,0.7017543859649122,0,0
W00006854,262,259,242,17,1,8,8,0,0,0,0,3,0,0,0,98.85496183206108,92.36641221374046,6.488549618320611,0.38167938931297707,3.0534351145038165,3.0534351145038165,0,0,0,0,1.1450381679389312,0,0,0
W00006931,283,282,281,1,1,0,0,0,0,0,0,1,0,0,0,99.64664310954063,99.29328621908127,0.35335689045936397,0.35335689045936397,0,0,0,0,0,0,0.35335689045936397,0,0,0
W00006932,303,298,286,10,2,4,4,0,2,2,0,5,0,0,0,98.34983498349835,94.38943894389439,3.3003300330033,0.6600660066006601,1.3201320132013201,1.3201320132013201,0,0.6600660066006601,0.6600660066006601,0,1.65016501650165,0,0,0
W00006933,246,243,236,7,4,1,1,1,0,0,0,2,0,1,0,98.78048780487805,95.9349593495935,2.8455284552845526,1.6260162601626018,0.40650406504065045,0.40650406504065045,0.40650406504065045,0,0,0,0.8130081300813009,0,0.40650406504065045,0
W00006934,293,290,287,3,1,2,0,0,0,0,0,3,0,0,0,98.97610921501706,97.95221843003414,1.023890784982935,0.3412969283276451,0.6825938566552902,0,0,0,0,0,1.023890784982935,0,0,0
W00006935,212,210,204,6,2,3,1,0,0,0,1,0,0,1,0,99.05660377358491,96.22641509433963,2.8301886792452833,0.9433962264150944,1.4150943396226416,0.4716981132075472,0,0,0,0.4716981132075472,0,0,0.4716981132075472,0
W00006936,300,289,285,4,2,2,0,0,0,0,0,10,0,1,0,96.33333333333334,95,1.3333333333333335,0.6666666666666667,0.6666666666666667,0,0,0,0,0,3.3333333333333335,0,0.33333333333333337,0
W00006937,300,300,293,7,1,4,2,0,0,0,0,0,0,0,0,100,97.66666666666667,2.3333333333333335,0.33333333333333337,1.3333333333333335,0.6666666666666667,0,0,0,0,0,0,0,0
W00006767,426,416,387,28,6,22,0,0,1,1,4,2,4,0,0,97.65258215962442,90.84507042253522,6.572769953051644,1.4084507042253522,5.164319248826291,0,0,0.2347417840375587,0.2347417840375587,0.9389671361502347,0.4694835680751174,0.9389671361502347,0,0
W00006770,286,280,271,8,4,4,0,0,1,1,0,3,3,0,0,97.9020979020979,94.75524475524476,2.797202797202797,1.3986013986013985,1.3986013986013985,0,0,0.34965034965034963,0.34965034965034963,0,1.048951048951049,1.048951048951049,0,0
W00006781,315,310,289,21,8,9,4,0,0,0,3,2,0,0,0,98.4126984126984,91.74603174603175,6.666666666666667,2.5396825396825395,2.857142857142857,1.2698412698412698,0,0,0,0.9523809523809524,0.6349206349206349,0,0,0
W00006782,295,294,278,16,4,12,0,0,0,0,0,1,0,0,0,99.66101694915255,94.23728813559322,5.423728813559322,1.3559322033898304,4.067796610169491,0,0,0,0,0,0.3389830508474576,0,0,0
W00006783,229,227,216,11,0,9,2,0,0,0,1,1,0,0,0,99.12663755458514,94.32314410480349,4.8034934497816595,0,3.9301310043668125,0.8733624454148471,0,0,0,0.43668122270742354,0.43668122270742354,0,0,0
W00006784,290,285,266,19,3,16,0,0,0,0,0,4,0,1,0,98.27586206896551,91.72413793103448,6.551724137931035,1.0344827586206897,5.517241379310345,0,0,0,0,0,1.3793103448275863,0,0.3448275862068966,0
W00006768,276,270,268,2,2,0,0,0,0,0,2,4,0,0,0,97.82608695652173,97.10144927536231,0.7246376811594203,0.7246376811594203,0,0,0,0,0,0.7246376811594203,1.4492753623188406,0,0,0
W00006775,432,432,428,4,1,3,0,0,0,0,0,0,0,0,0,100,99.07407407407408,0.9259259259259258,0.23148148148148145,0.6944444444444444,0,0,0,0,0,0,0,0,0
W00006777,201,196,188,7,3,4,0,0,1,1,0,1,4,0,0,97.51243781094527,93.53233830845771,3.482587064676617,1.4925373134328357,1.9900497512437811,0,0,0.4975124378109453,0.4975124378109453,0,0.4975124378109453,1.9900497512437811,0,0
