OA,ts0440001,ts0440002,ts0440003,ts0440004,ts0440005,ts0440006,ts0440007,ts0440008,ts0440009,ts0440002_PCT,ts0440003_PCT,ts0440004_PCT,ts0440005_PCT,ts0440006_PCT,ts0440007_PCT,ts0440008_PCT,ts0440009_PCT
E00023571,169,0,0,0,168,1,0,0,0,0,0,0,99.40828402366864,0.591715976331361,0,0,0
E00023572,155,0,1,3,108,13,1,29,0,0,0.6451612903225806,1.935483870967742,69.6774193548387,8.38709677419355,0.6451612903225806,18.70967741935484,0
E00023573,152,1,0,2,127,21,1,0,0,0.6578947368421052,0,1.3157894736842104,83.55263157894737,13.815789473684212,0.6578947368421052,0,0
E00023574,199,1,0,0,190,5,0,3,0,0.5025125628140703,0,0,95.47738693467338,2.512562814070352,0,1.507537688442211,0
E00023575,181,0,3,29,132,12,3,2,0,0,1.6574585635359116,16.022099447513813,72.92817679558011,6.629834254143646,1.6574585635359116,1.1049723756906076,0
E00023576,108,2,0,4,94,6,1,1,0,1.8518518518518516,0,3.7037037037037033,87.03703703703704,5.555555555555555,0.9259259259259258,0.9259259259259258,0
E00023577,221,0,1,2,175,42,1,0,0,0,0.4524886877828055,0.904977375565611,79.18552036199095,19.004524886877828,0.4524886877828055,0,0
E00023578,184,0,0,6,163,11,0,4,0,0,0,3.260869565217391,88.58695652173914,5.978260869565218,0,2.1739130434782608,0
E00023579,205,0,0,0,201,2,0,1,1,0,0,0,98.04878048780488,0.975609756097561,0,0.4878048780487805,0.4878048780487805
E00023580,156,0,0,0,153,0,0,1,2,0,0,0,98.07692307692307,0,0,0.641025641025641,1.282051282051282
E00023581,198,1,0,0,195,1,0,0,1,0.5050505050505051,0,0,98.48484848484848,0.5050505050505051,0,0,0.5050505050505051
E00023585,124,13,9,54,41,6,0,1,0,10.483870967741936,7.258064516129033,43.54838709677419,33.064516129032256,4.838709677419355,0,0.8064516129032258,0
E00023586,185,1,3,13,45,119,4,0,0,0.5405405405405406,1.6216216216216217,7.027027027027027,24.324324324324326,64.32432432432432,2.1621621621621623,0,0
E00023587,176,2,0,1,78,94,1,0,0,1.1363636363636365,0,0.5681818181818182,44.31818181818182,53.40909090909091,0.5681818181818182,0,0
E00023588,166,1,1,5,51,100,8,0,0,0.6024096385542169,0.6024096385542169,3.0120481927710845,30.72289156626506,60.24096385542169,4.819277108433735,0,0
E00023589,123,0,0,4,46,68,1,4,0,0,0,3.2520325203252036,37.39837398373984,55.28455284552846,0.8130081300813009,3.2520325203252036,0
E00023590,178,0,0,1,45,110,21,1,0,0,0,0.5617977528089888,25.280898876404496,61.79775280898876,11.797752808988763,0.5617977528089888,0
E00023591,143,0,0,1,47,93,2,0,0,0,0,0.6993006993006993,32.86713286713287,65.03496503496503,1.3986013986013985,0,0
