OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
E00067223,189,46,0,0,1,0,0,100,9,8,24,1,24.33862433862434,0,0,0.5291005291005291,0,0,52.910052910052904,4.761904761904762,4.232804232804233,12.698412698412698,0.5291005291005291
E00067224,131,26,0,0,0,0,0,82,10,5,8,0,19.84732824427481,0,0,0,0,0,62.59541984732825,7.633587786259542,3.816793893129771,6.106870229007633,0
E00067225,143,28,0,0,1,0,1,93,4,3,10,3,19.58041958041958,0,0,0.6993006993006993,0,0.6993006993006993,65.03496503496503,2.797202797202797,2.097902097902098,6.993006993006993,2.097902097902098
E00067226,144,17,0,0,0,0,1,101,2,4,19,0,11.805555555555555,0,0,0,0,0.6944444444444444,70.13888888888889,1.3888888888888888,2.7777777777777777,13.194444444444445,0
E00067227,76,15,0,0,0,0,0,51,3,1,3,3,19.736842105263158,0,0,0,0,0,67.10526315789474,3.9473684210526314,1.3157894736842104,3.9473684210526314,3.9473684210526314
E00067228,125,14,0,0,1,0,0,83,9,6,12,0,11.200000000000001,0,0,0.8,0,0,66.4,7.199999999999999,4.8,9.6,0
E00067229,160,13,0,0,4,1,2,99,16,7,16,2,8.125,0,0,2.5,0.625,1.25,61.875,10,4.375,10,1.25
E00067230,101,9,0,0,2,1,1,64,5,5,14,0,8.91089108910891,0,0,1.9801980198019802,0.9900990099009901,0.9900990099009901,63.366336633663366,4.9504950495049505,4.9504950495049505,13.861386138613863,0
E00067231,187,52,0,2,0,0,0,120,3,2,5,3,27.807486631016044,0,1.06951871657754,0,0,0,64.171122994652407,1.6042780748663104,1.06951871657754,2.6737967914438503,1.6042780748663104
E00067232,54,9,0,0,0,0,2,39,1,1,2,0,16.666666666666664,0,0,0,0,3.7037037037037033,72.22222222222221,1.8518518518518516,1.8518518518518516,3.7037037037037033,0
E00067233,238,69,0,1,0,0,0,155,4,4,4,1,28.991596638655466,0,0.42016806722689076,0,0,0,65.12605042016807,1.680672268907563,1.680672268907563,1.680672268907563,0.42016806722689076
E00067234,77,26,0,0,0,0,1,42,2,1,5,0,33.76623376623377,0,0,0,0,1.2987012987012987,54.54545454545454,2.5974025974025974,1.2987012987012987,6.493506493506493,0
E00067235,76,9,0,0,2,0,0,51,7,1,4,2,11.842105263157894,0,0,2.631578947368421,0,0,67.10526315789474,9.210526315789473,1.3157894736842104,5.263157894736842,2.631578947368421
E00067236,121,33,0,0,0,0,0,82,1,2,3,0,27.27272727272727,0,0,0,0,0,67.76859504132231,0.8264462809917356,1.6528925619834711,2.479338842975207,0
E00067237,137,29,0,0,0,0,1,94,3,5,4,1,21.16788321167883,0,0,0,0,0.7299270072992701,68.61313868613139,2.18978102189781,3.64963503649635,2.9197080291970803,0.7299270072992701
E00067238,162,55,0,0,0,0,1,88,7,3,7,1,33.95061728395062,0,0,0,0,0.6172839506172839,54.32098765432099,4.320987654320987,1.8518518518518516,4.320987654320987,0.6172839506172839
E00067239,137,13,0,0,0,0,2,95,14,4,8,1,9.48905109489051,0,0,0,0,1.4598540145985401,69.34306569343066,10.218978102189782,2.9197080291970803,5.839416058394161,0.7299270072992701
E00067240,183,32,0,0,0,0,0,129,10,3,8,1,17.48633879781421,0,0,0,0,0,70.49180327868852,5.46448087431694,1.639344262295082,4.371584699453552,0.546448087431694
E00067241,64,21,0,0,1,0,0,34,2,1,5,0,32.8125,0,0,1.5625,0,0,53.125,3.125,1.5625,7.8125,0
E00067242,124,21,0,0,2,0,1,79,4,1,12,4,16.93548387096774,0,0,1.6129032258064515,0,0.8064516129032258,63.70967741935484,3.225806451612903,0.8064516129032258,9.67741935483871,3.225806451612903
E00067244,169,44,0,1,0,0,0,109,6,1,7,1,26.035502958579883,0,0.591715976331361,0,0,0,64.49704142011834,3.5502958579881656,0.591715976331361,4.142011834319527,0.591715976331361
E00067245,115,17,0,0,0,0,0,84,4,2,6,2,14.782608695652174,0,0,0,0,0,73.04347826086956,3.4782608695652173,1.7391304347826086,5.217391304347826,1.7391304347826086
E00067246,142,35,0,0,2,0,0,94,1,0,9,1,24.647887323943664,0,0,1.4084507042253522,0,0,66.19718309859155,0.7042253521126761,0,6.338028169014084,0.7042253521126761
E00067248,224,45,0,2,0,0,1,149,8,3,13,3,20.089285714285715,0,0.8928571428571428,0,0,0.4464285714285714,66.51785714285714,3.571428571428571,1.3392857142857142,5.803571428571429,1.3392857142857142
E00067249,134,39,0,0,0,0,0,81,1,1,11,1,29.1044776119403,0,0,0,0,0,60.447761194029844,0.7462686567164178,0.7462686567164178,8.208955223880597,0.7462686567164178
E00067250,74,21,0,0,0,0,0,48,3,0,1,1,28.37837837837838,0,0,0,0,0,64.86486486486487,4.054054054054054,0,1.3513513513513513,1.3513513513513513
